name;description;min_price;max_price;type;image_link
Asem Laksa;Mie asam pedas dengan ikan dan kuah yang segar.;10000;30000;SN;https://i.postimg.cc/ncMWXkkp/Asem-Laksa.jpg
Asem Pedas Ikan Gabus;Sup asam pedas dengan ikan gabus yang segar dan lembut.;25000;70000;SN;https://i.postimg.cc/q7WSrCn4/Asam-Pedas-Ikan-Gabus.jpg
Bakmi Bangka;Mie dengan kuah kaldu yang kaya rasa dari ikan tenggiri.;30000;75000;SN;https://i.postimg.cc/Xvrmtgrs/Bakmi-Bangka.jpg
Bakso Ikan Bangka;Bakso dari ikan dengan tekstur kenyal dan kuah kaldu yang kaya rasa.;15000;35000;SN;https://i.postimg.cc/PrcRYw3Z/Bakso-Ikan-Bangka.jpg
Balacan;Bumbu fermentasi udang yang digunakan sebagai penyedap masakan.;13000;250000;SN;https://i.postimg.cc/0jkf18t9/Balacan.png
Bong Li Piang;Kue tradisional dengan isian selai nanas yang lembut dan manis.;20000;60000;SN;https://i.postimg.cc/rmWbwFCW/Bong-Li-Piang.jpg
Bubur Jagung Belitung;Bubur jagung yang manis dan disajikan dengan santan kental.;20000;80000;SN;https://i.postimg.cc/GpsrvRx3/Bubur-Jagung-Belitung.jpg
Bubur Kepiting;Bubur dengan daging kepiting yang gurih dan disajikan dengan bawang goreng.;15000;35000;SN;https://i.postimg.cc/wTSmhqh3/Bubur-Kepiting.png
Bubur Pedas;Bubur pedas dengan sayuran dan rempah yang menyegarkan.;15000;45000;SN;https://i.postimg.cc/HxwgPtNf/Bubur-Pedas.jpg
Bubur Sumsum Bangka;Bubur manis yang lembut dari tepung beras, sering disajikan dengan gula merah.;12000;45000;SN;https://i.postimg.cc/N0QL45LG/Bubur-Sumsum-Bangka.png
Bubur Tinutuan Bangka;Bubur tradisional dengan sayuran yang segar dan pedas.;10000;45000;SN;https://i.postimg.cc/3NFc2Sqx/Bubur-Tinutuan-Bangka.jpg
Cincalok;Ikan teri yang difermentasi untuk dibuat sambal khas.;50000;150000;SN;https://i.postimg.cc/d1mBf7jW/Cincalok.png
Es Ai Lo Bi;Es khas Bangka dengan isian kelapa muda, cincau, dan gula aren.;15000;40000;SN;https://i.postimg.cc/Z5pyHGcH/EsAiLoBi.png
Es Campur Khas Bangka;Es campur dengan berbagai isian seperti kacang merah, alpukat, dan kelapa.;10000;30000;SN;https://i.postimg.cc/ZqmvMwsS/Es-Campur-Bangka.png
Es Jeruk Kunci;Minuman segar dari perasan jeruk kunci yang asam dan manis.;45000;95000;SN;https://i.postimg.cc/Y9qGphwD/Es-Jeruk-Kunci.png
Es Kacang Hijau;Es kacang hijau yang lembut dengan kuah santan dan gula merah.;30000;70000;SN;https://i.postimg.cc/tTQb5cB3/Es-Kacang-Hijau.webp
Es Kacang Merah;Es kacang merah dengan santan dan sirup manis.;20000;50000;SN;https://i.postimg.cc/k5PYhddg/Es-Kacang-Merah.jpg
Es Kelapa Muda Belitung;Es kelapa muda yang segar dan manis dengan tambahan gula aren.;20000;45000;SN;https://i.postimg.cc/44WM4MpW/Es-Kelapa-Muda-Belitung.jpg
Es Kolang-Kaling;Es dari kolang-kaling yang manis dan disajikan dengan sirup.;50000;100000;SN;https://i.postimg.cc/GhccVZdz/Es-Kolang-Kaling.webp
Es Krim Ovaltine;Es krim dengan rasa Ovaltine yang creamy dan manis.;35000;60000;SN;https://i.postimg.cc/8cSYJQtY/Es-Krim-Ovaltine.jpg
Es Nipah;Es dari buah nipah dengan sirup manis dan es serut.;15000;50000;SN;https://i.postimg.cc/T3DH93Fs/EsNipah.jpg
Es Tape Ketan Hitam;Es tape ketan hitam dengan santan yang manis dan lembut.;20000;40000;SN;https://i.postimg.cc/prPHNFby/Es-Tape-Ketan-Hitam.jpg
Getas;Kerupuk ikan tenggiri yang renyah dan gurih.;12000;35000;SN;https://i.postimg.cc/cJ3TQkgG/Getas.png
Gulai Ayam Kampung Bangka;Gulai ayam kampung dengan kuah santan yang gurih.;50000;80000;SN;https://i.postimg.cc/T1QXT3f0/Gulai-Ayam-Kampung-Bangka.jpg
Gulai Kepala Ikan Kakap;Sup kepala ikan kakap dengan kuah yang kaya rasa dari rempah.;10000;35000;SN;https://i.postimg.cc/dQ2pM30c/Gulai-Kepala-Ikan-Kakap.jpg
Ikan Asam Padeh;Ikan asam padeh dengan kuah pedas dan asam yang segar.;30000;100000;SN;https://i.postimg.cc/3JSH6NLJ/Ikan-Asam-Padeh.jpg
Ikan Bakar Sambal Dabu-Dabu;Ikan bakar yang disajikan dengan sambal dabu-dabu pedas.;50000;120000;SN;https://i.postimg.cc/QNqDQ017/Ikan-Bakar-Sambal-Dabu-Dabu.jpg
Ikan Bandeng Presto;Ikan bandeng yang dimasak presto hingga durinya lunak.;25000;60000;SN;https://i.postimg.cc/wTBChH6K/Ikan-Bandeng-Presto.webp
Ikan Gulai Tauco;Ikan gulai dengan kuah santan dan bumbu tauco yang gurih.;50000;120000;SN;https://i.postimg.cc/wB5fCb6c/Ikan-Gulai-Tauco.jpg
Ikan Kuwe Bakar;Ikan kuwe yang dibakar dengan bumbu rempah dan sambal.;15000;25000;SN;https://i.postimg.cc/HssgBX9h/Ikan-Kuwe-Bakar.webp
Ikan Panggang Bumbu Rujak;Ikan panggang yang disajikan dengan sambal rujak pedas manis.;10000;45000;SN;https://i.postimg.cc/mZyXXndb/Ikan-Panggang-Bumbu-Rujak.jpg
Ikan Selar Goreng;Ikan selar yang digoreng hingga garing dan disajikan dengan sambal.;40000;100000;SN;https://i.postimg.cc/qRkb4Xqf/Ikan-Selar-Goreng.jpg
Jus Belimbing;Jus belimbing yang segar dan asam manis.;25000;50000;SN;https://i.postimg.cc/RZWzzm81/Jus-Belimbing.webp
Kari Ikan Tenggiri;Kari ikan tenggiri dengan kuah yang kental dan kaya bumbu.;40000;90000;SN;https://i.postimg.cc/MKtLTLRs/Kari-Ikan-Tenggiri.jpg
Kari Kambing Belinyu;Kari kambing dengan kuah pekat dan bumbu rempah khas Belinyu.;10000;25000;SN;https://i.postimg.cc/FHNJPPBQ/Kari-Kambing-Belinyu.png
Kembung Bertelur;Ikan kembung yang diisi telur dan digoreng hingga renyah.;17000;30000;SN;https://i.postimg.cc/dVgcsXPb/Kembung-Bertelur.jpg
Kemplang;Kerupuk dari ikan tenggiri yang dipanggang, biasanya disajikan dengan sambal balacan.;28000;80000;SN;https://i.postimg.cc/brmRzKMk/Kemplang.png
Kepiting Saos Belitung;Kepiting dengan saus khas Belitung yang pedas dan manis.;20000;40000;SN;https://i.postimg.cc/k583Bc7B/Kepiting-Saos-Belitung.jpg
Kepiting Soka Goreng;Kepiting soka yang digoreng renyah dan disajikan dengan saus pedas.;35000;100000;SN;https://i.postimg.cc/4dB8d7HY/Kepiting-Soka-Goreng.jpg
Kericu;Camilan renyah dari telur cumi-cumi dan tepung sagu.;32000;250000;SN;https://i.postimg.cc/50Mgp5LY/Kericu.png
Keripik Ubi Kayu;Keripik ubi kayu yang gurih dan renyah.;40000;75000;SN;https://i.postimg.cc/vBsR9VmX/Keripik-Ubi-Kayu.jpg
Ketupat Soto Bangka;Ketupat yang disajikan dengan soto ayam khas Bangka.;25000;60000;SN;https://i.postimg.cc/KjGdphBM/Ketupat-Soto-Bangka.jpg
Kopi Tung Tau;Kopi hitam tradisional dari kedai kopi terkenal di Bangka.;18000;24000;SN;https://i.postimg.cc/htLfT9D3/Kopi-Tung-Tau.png
Kue Apem;Kue tradisional Indonesia yang terbuat dari campuran tepung beras, santan, dan gula, kemudian difermentasi dengan ragi;15000;47000;SN;https://i.postimg.cc/0jjVJk7c/KueApem.jpg
Kue Bolu Ketan Hitam;Kue bolu dari ketan hitam dengan tekstur yang lembut dan rasa manis.;12000;40000;SN;https://i.postimg.cc/rFqbqTd0/Kue-Bolu-Ketan-Hitam.jpg
Kue Cincin;Kue manis berbentuk cincin yang terbuat dari tepung beras.;15000;30000;SN;https://i.postimg.cc/L8XbZV3m/Kue-Cincin.jpg
Kue Cubit Bangka;Kue cubit dengan adonan yang lembut dan topping cokelat.;30000;65000;SN;https://i.postimg.cc/c4VFrNCB/Kue-Cubit-Bangka.jpg
Kue Dadar Belitung;Kue tipis yang digulung dengan isi manis kelapa.;25000;50000;SN;https://i.postimg.cc/JzVssTLk/Kue-Dadar-Belitung.png
Kue Engkak Ketan;Kue tradisional dari ketan dengan rasa manis dan gurih.;20000;70000;SN;https://i.postimg.cc/QNFg5nR4/Kue-Engkak-Ketan.png
Kue Jongkong;Kue manis dari tepung beras dengan lapisan hijau dan coklat.;18000;60000;SN;https://i.postimg.cc/XJJJRmwT/Kue-Jongkong.png
Kue Pelite;Kue tradisional dari tepung beras dan santan yang dibungkus daun pandan.;5000;13000;SN;https://i.postimg.cc/s2Kx0sZY/Kue-Pelite.png
Kue Rintak;Kue kering dari tepung sagu dengan tekstur lembut dan manis.;18000;40000;SN;https://i.postimg.cc/K8k52p53/Kue-Rintak.png
Kue Sekopek;Kue tradisional dari tepung beras yang digoreng hingga renyah.;35000;85000;SN;https://i.postimg.cc/GtfqFWQr/Kue-Sekopek.jpg
Lakse;Mie tradisional Bangka yang disajikan dengan kuah ikan.;40000;150000;SN;https://i.postimg.cc/g2CHkyMS/Lakse.png
Lakso Bangka;Mie khas Bangka dengan kuah santan berbumbu dan tekstur kenyal.;20000;50000;SN;https://i.postimg.cc/sfbYJ4zV/Lakse.png
Lakso Kuning;Mie khas Bangka dengan kuah santan dan aroma rempah.;35000;100000;SN;https://i.postimg.cc/FFkc1kLw/Lakso-Kuning.png
Lapis Gulung Selai Nanas;Roti lapis dengan selai nanas yang manis dan lembut.;15000;30000;SN;https://i.postimg.cc/gJ9SQbF0/Lemang.jpg
Lemang;Makanan tradisional dari beras ketan yang dimasak dalam bambu.;25000;80000;SN;https://i.postimg.cc/Wp886k3z/Lempah-Alar-Keladi.png
Lempah Akar Keladi;Sup sayur dengan akar keladi sebagai bahan utama, dimasak dengan bumbu lempah.;15000;25000;SN;https://i.postimg.cc/7YLVBZGV/Lempah-Darat.png
Lempah Darat;Sup sayuran dari pucuk daun dan akar keladi dengan kuah rempah.;15000;50000;SN;https://i.postimg.cc/qMZGWH2d/Lempah-Kulat.png
Lempah Kulat;Sup jamur khas Bangka yang dimasak dengan kuah rempah pedas.;20000;30000;SN;https://i.postimg.cc/ydBh01C0/Lempah-Kuning.png
Lempah Kuning;Sup ikan khas Bangka dengan kuah kuning dari kunyit dan rempah-rempah.;30000;100000;SN;https://i.postimg.cc/d3fTNvpH/Lempok-Cempedak.png
Lempok Cempedak;Dodol kenyal dengan rasa manis dari buah cempedak.;25000;60000;SN;https://i.postimg.cc/VsZGPtcT/Lempok-Durian.jpg
Lempok Durian;Dodol durian yang manis dan legit, cocok sebagai oleh-oleh.;15000;45000;SN;https://i.postimg.cc/Zn5rDwRR/Lepet.png
Lepet;Kudapan khas dari beras ketan yang dibungkus daun janur.;40000;70000;SN;https://i.postimg.cc/7LSMCCdx/Lokan-Laut.png
Lokan Laut;Kerang yang dimasak dengan saus tiram atau santan.;10000;25000;SN;https://i.postimg.cc/dt7Ws0s0/Lontong-Bangka.jpg
Lontong Bangka;Lontong dari beras yang disajikan dengan kuah santan dan ikan.;10000;20000;SN;https://i.postimg.cc/ZRc8cGJ2/Martabak-Bangka.png
Martabak Bangka;Martabak manis khas Bangka dengan topping melimpah seperti keju dan coklat.;30000;90000;SN;https://i.postimg.cc/ZqvswKQg/Martabak-Telur-Bangka.jpg
Martabak Telur Bangka;Martabak dengan isian telur dan daging, khas Bangka.;40000;80000;SN;https://i.postimg.cc/KvnMDXQN/MieKoba.png
Mie Koba;Mie kuah dengan potongan ikan tenggiri dan kuah kaldu ikan.;10000;20000;SN;https://i.postimg.cc/mg563FmC/Nasi-Belut.jpg
Nasi Belut;Nasi dengan belut yang digoreng renyah dan disajikan dengan sambal.;50000;110000;SN;https://i.postimg.cc/Ss3MDkwZ/Otak-Otak-Bangka.png
Otak-otak Bangka;Otak-otak dari ikan yang dibungkus daun dan dibakar.;35000;85000;SN;https://i.postimg.cc/prcDNKhB/Pantiaw.png
Pantiaw;Mie gepeng khas Bangka dengan kuah santan pedas manis.;6000;15000;SN;https://i.postimg.cc/ydFQzpsy/Pecak-Ikan-Sembilang.jpg
Pecak Ikan Sembilang;Ikan sembilang yang dimasak dengan bumbu pecak pedas.;45000;100000;SN;https://i.postimg.cc/fTWH6vFY/Pempek-Bangka.jpg
Pempek Bangka;Pempek dengan ikan tenggiri dan kuah cuka khas Bangka.;15000;20000;SN;https://i.postimg.cc/Kjx9c7YS/Perut-Ayam-Bangka.jpg
Perut Ayam Bangka;Daging ayam yang direbus dalam kuah santan hingga empuk.;32000;75000;SN;https://i.postimg.cc/CK47PBNc/Pindang-Ikan-Kembung.jpg
Pindang Ikan Kembung;Ikan kembung yang dimasak dalam kuah pindang dengan rempah.;45000;80000;SN;https://i.postimg.cc/909qks2c/Roti-Selai-Nanas.png
Rujak Daun Ubi Kembang Pepaya;Rujak dengan bahan utama daun ubi dan bunga pepaya muda yang ditumis.;50000;100000;SN;https://i.postimg.cc/wxw5sYfs/Rujak-Daun-Ubi-Kembang-Pepaya.png
Rujak Sirsak;Rujak dengan potongan buah sirsak dan bumbu kacang pedas manis.;45000;100000;SN;https://i.postimg.cc/d1mb9VkF/Rujak-Sirsak.jpg
Rusip;Ikan teri yang difermentasi menjadi sambal dengan rasa asam dan gurih.;30000;110000;SN;https://i.postimg.cc/ZKkNNYPn/Rusip.png
Sambalingkung;Abon ikan tenggiri yang gurih dan kaya protein.;15000;20000;SN;https://i.postimg.cc/hGRVqDjN/Sambal-Lingkung.png
Sate Bangka;Sate dari ikan yang dibakar dan disajikan dengan saus kacang.;50000;90000;SN;https://i.postimg.cc/yxjLDJJJ/Sate-Bangka.jpg
